End of Epoch: 1  |  Train Loss: 0.696  |  Validation Loss: 0.693  |  Train Acc: 49.60%  |  Validation Acc: 49.76% 
End of Epoch: 2  |  Train Loss: 0.692  |  Validation Loss: 0.687  |  Train Acc: 50.78%  |  Validation Acc: 56.01% 
End of Epoch: 3  |  Train Loss: 0.676  |  Validation Loss: 0.665  |  Train Acc: 57.81%  |  Validation Acc: 64.66% 
End of Epoch: 4  |  Train Loss: 0.623  |  Validation Loss: 0.612  |  Train Acc: 66.62%  |  Validation Acc: 68.99% 
End of Epoch: 5  |  Train Loss: 0.589  |  Validation Loss: 0.608  |  Train Acc: 70.26%  |  Validation Acc: 72.12% 
End of Epoch: 6  |  Train Loss: 0.562  |  Validation Loss: 0.601  |  Train Acc: 72.85%  |  Validation Acc: 72.84% 
End of Epoch: 7  |  Train Loss: 0.541  |  Validation Loss: 0.558  |  Train Acc: 74.10%  |  Validation Acc: 76.20% 
End of Epoch: 8  |  Train Loss: 0.520  |  Validation Loss: 0.555  |  Train Acc: 76.12%  |  Validation Acc: 77.16% 
End of Epoch: 9  |  Train Loss: 0.508  |  Validation Loss: 0.553  |  Train Acc: 77.48%  |  Validation Acc: 76.68% 
End of Epoch: 10  |  Train Loss: 0.491  |  Validation Loss: 0.536  |  Train Acc: 78.67%  |  Validation Acc: 77.16% 
End of Epoch: 11  |  Train Loss: 0.484  |  Validation Loss: 0.567  |  Train Acc: 78.43%  |  Validation Acc: 76.44% 
End of Epoch: 12  |  Train Loss: 0.472  |  Validation Loss: 0.528  |  Train Acc: 79.39%  |  Validation Acc: 77.16% 
End of Epoch: 13  |  Train Loss: 0.462  |  Validation Loss: 0.533  |  Train Acc: 79.80%  |  Validation Acc: 77.64% 
End of Epoch: 14  |  Train Loss: 0.461  |  Validation Loss: 0.517  |  Train Acc: 79.92%  |  Validation Acc: 78.85% 
End of Epoch: 15  |  Train Loss: 0.444  |  Validation Loss: 0.509  |  Train Acc: 80.71%  |  Validation Acc: 79.57% 
End of Epoch: 16  |  Train Loss: 0.440  |  Validation Loss: 0.536  |  Train Acc: 80.88%  |  Validation Acc: 76.92% 
End of Epoch: 17  |  Train Loss: 0.434  |  Validation Loss: 0.516  |  Train Acc: 81.49%  |  Validation Acc: 79.33% 
End of Epoch: 18  |  Train Loss: 0.430  |  Validation Loss: 0.540  |  Train Acc: 81.41%  |  Validation Acc: 77.64% 
End of Epoch: 19  |  Train Loss: 0.422  |  Validation Loss: 0.512  |  Train Acc: 81.99%  |  Validation Acc: 78.12% 
End of Epoch: 20  |  Train Loss: 0.404  |  Validation Loss: 0.507  |  Train Acc: 83.28%  |  Validation Acc: 79.33% 
End of Epoch: 21  |  Train Loss: 0.406  |  Validation Loss: 0.523  |  Train Acc: 83.03%  |  Validation Acc: 77.64% 
End of Epoch: 22  |  Train Loss: 0.399  |  Validation Loss: 0.511  |  Train Acc: 83.33%  |  Validation Acc: 80.05% 
