End of Epoch: 1  |  Train Loss: 0.695  |  Validation Loss: 0.694  |  Train Acc: 50.63%  |  Validation Acc: 50.48% 
End of Epoch: 2  |  Train Loss: 0.693  |  Validation Loss: 0.693  |  Train Acc: 51.54%  |  Validation Acc: 54.57% 
End of Epoch: 3  |  Train Loss: 0.692  |  Validation Loss: 0.701  |  Train Acc: 51.68%  |  Validation Acc: 46.15% 
End of Epoch: 4  |  Train Loss: 0.690  |  Validation Loss: 0.697  |  Train Acc: 52.02%  |  Validation Acc: 54.81% 
End of Epoch: 5  |  Train Loss: 0.682  |  Validation Loss: 0.688  |  Train Acc: 57.44%  |  Validation Acc: 57.21% 
End of Epoch: 6  |  Train Loss: 0.659  |  Validation Loss: 0.663  |  Train Acc: 62.10%  |  Validation Acc: 60.10% 
End of Epoch: 7  |  Train Loss: 0.641  |  Validation Loss: 0.621  |  Train Acc: 64.75%  |  Validation Acc: 67.79% 
End of Epoch: 8  |  Train Loss: 0.610  |  Validation Loss: 0.590  |  Train Acc: 67.94%  |  Validation Acc: 72.36% 
End of Epoch: 9  |  Train Loss: 0.592  |  Validation Loss: 0.595  |  Train Acc: 70.43%  |  Validation Acc: 70.67% 
End of Epoch: 10  |  Train Loss: 0.577  |  Validation Loss: 0.612  |  Train Acc: 71.30%  |  Validation Acc: 72.12% 
End of Epoch: 11  |  Train Loss: 0.553  |  Validation Loss: 0.565  |  Train Acc: 74.00%  |  Validation Acc: 74.04% 
End of Epoch: 12  |  Train Loss: 0.534  |  Validation Loss: 0.547  |  Train Acc: 75.10%  |  Validation Acc: 76.92% 
End of Epoch: 13  |  Train Loss: 0.524  |  Validation Loss: 0.550  |  Train Acc: 75.74%  |  Validation Acc: 75.24% 
End of Epoch: 14  |  Train Loss: 0.509  |  Validation Loss: 0.549  |  Train Acc: 76.86%  |  Validation Acc: 75.72% 
End of Epoch: 15  |  Train Loss: 0.486  |  Validation Loss: 0.556  |  Train Acc: 78.59%  |  Validation Acc: 75.96% 
End of Epoch: 16  |  Train Loss: 0.481  |  Validation Loss: 0.532  |  Train Acc: 78.30%  |  Validation Acc: 76.20% 
End of Epoch: 17  |  Train Loss: 0.465  |  Validation Loss: 0.544  |  Train Acc: 79.81%  |  Validation Acc: 75.24% 
End of Epoch: 18  |  Train Loss: 0.458  |  Validation Loss: 0.555  |  Train Acc: 80.19%  |  Validation Acc: 75.48% 
End of Epoch: 19  |  Train Loss: 0.451  |  Validation Loss: 0.533  |  Train Acc: 80.81%  |  Validation Acc: 76.68% 
End of Epoch: 20  |  Train Loss: 0.451  |  Validation Loss: 0.527  |  Train Acc: 80.61%  |  Validation Acc: 76.20% 
End of Epoch: 21  |  Train Loss: 0.437  |  Validation Loss: 0.589  |  Train Acc: 81.36%  |  Validation Acc: 71.88% 
End of Epoch: 22  |  Train Loss: 0.434  |  Validation Loss: 0.566  |  Train Acc: 81.43%  |  Validation Acc: 71.88% 
End of Epoch: 23  |  Train Loss: 0.418  |  Validation Loss: 0.530  |  Train Acc: 82.54%  |  Validation Acc: 76.44% 
End of Epoch: 24  |  Train Loss: 0.414  |  Validation Loss: 0.548  |  Train Acc: 82.47%  |  Validation Acc: 74.76% 
End of Epoch: 25  |  Train Loss: 0.414  |  Validation Loss: 0.549  |  Train Acc: 82.77%  |  Validation Acc: 75.00% 
End of Epoch: 26  |  Train Loss: 0.410  |  Validation Loss: 0.542  |  Train Acc: 82.66%  |  Validation Acc: 75.72% 
