End of Epoch: 1  |  Train Loss: 0.694  |  Validation Loss: 0.695  |  Train Acc: 50.56%  |  Validation Acc: 49.28% 
End of Epoch: 2  |  Train Loss: 0.694  |  Validation Loss: 0.696  |  Train Acc: 50.34%  |  Validation Acc: 47.84% 
End of Epoch: 3  |  Train Loss: 0.693  |  Validation Loss: 0.696  |  Train Acc: 51.81%  |  Validation Acc: 48.32% 
End of Epoch: 4  |  Train Loss: 0.693  |  Validation Loss: 0.696  |  Train Acc: 50.20%  |  Validation Acc: 49.28% 
End of Epoch: 5  |  Train Loss: 0.692  |  Validation Loss: 0.696  |  Train Acc: 51.42%  |  Validation Acc: 49.52% 
End of Epoch: 6  |  Train Loss: 0.691  |  Validation Loss: 0.696  |  Train Acc: 52.41%  |  Validation Acc: 50.96% 
End of Epoch: 7  |  Train Loss: 0.687  |  Validation Loss: 0.692  |  Train Acc: 54.36%  |  Validation Acc: 54.09% 
End of Epoch: 8  |  Train Loss: 0.673  |  Validation Loss: 0.681  |  Train Acc: 58.65%  |  Validation Acc: 58.41% 
End of Epoch: 9  |  Train Loss: 0.649  |  Validation Loss: 0.678  |  Train Acc: 63.09%  |  Validation Acc: 62.02% 
End of Epoch: 10  |  Train Loss: 0.631  |  Validation Loss: 0.644  |  Train Acc: 64.98%  |  Validation Acc: 64.90% 
End of Epoch: 11  |  Train Loss: 0.617  |  Validation Loss: 0.624  |  Train Acc: 66.94%  |  Validation Acc: 66.11% 
End of Epoch: 12  |  Train Loss: 0.587  |  Validation Loss: 0.619  |  Train Acc: 70.58%  |  Validation Acc: 67.79% 
End of Epoch: 13  |  Train Loss: 0.583  |  Validation Loss: 0.606  |  Train Acc: 70.63%  |  Validation Acc: 71.15% 
End of Epoch: 14  |  Train Loss: 0.558  |  Validation Loss: 0.605  |  Train Acc: 72.63%  |  Validation Acc: 70.43% 
End of Epoch: 15  |  Train Loss: 0.556  |  Validation Loss: 0.597  |  Train Acc: 72.91%  |  Validation Acc: 70.67% 
End of Epoch: 16  |  Train Loss: 0.545  |  Validation Loss: 0.567  |  Train Acc: 73.83%  |  Validation Acc: 72.84% 
